"date","visits","simplystats"
2011-01-01,0,0
2011-01-02,0,0
2011-01-03,0,0
2011-01-04,0,0
2011-01-05,0,0
2011-01-06,0,0
2011-01-07,0,0
2011-01-08,0,0
2011-01-09,0,0
2011-01-10,0,0
2011-01-11,0,0
2011-01-12,0,0
2011-01-13,0,0
2011-01-14,0,0
2011-01-15,0,0
2011-01-16,0,0
2011-01-17,0,0
2011-01-18,0,0
2011-01-19,0,0
2011-01-20,0,0
2011-01-21,5,0
2011-01-22,3,0
2011-01-23,4,0
2011-01-24,15,0
2011-01-25,7,0
2011-01-26,6,0
2011-01-27,5,0
2011-01-28,9,0
2011-01-29,3,0
2011-01-30,4,0
2011-01-31,10,0
2011-02-01,11,0
2011-02-02,11,0
2011-02-03,9,0
2011-02-04,14,0
2011-02-05,6,0
2011-02-06,3,0
2011-02-07,12,0
2011-02-08,12,0
2011-02-09,11,0
2011-02-10,10,0
2011-02-11,1,0
2011-02-12,5,0
2011-02-13,5,0
2011-02-14,23,0
2011-02-15,7,0
2011-02-16,15,0
2011-02-17,13,0
2011-02-18,8,0
2011-02-19,0,0
2011-02-20,3,0
2011-02-21,8,0
2011-02-22,14,0
2011-02-23,10,0
2011-02-24,6,0
2011-02-25,7,0
2011-02-26,8,0
2011-02-27,4,0
2011-02-28,11,0
2011-03-01,8,0
2011-03-02,20,0
2011-03-03,10,0
2011-03-04,12,0
2011-03-05,4,0
2011-03-06,3,0
2011-03-07,11,0
2011-03-08,8,0
2011-03-09,11,0
2011-03-10,12,0
2011-03-11,11,0
2011-03-12,5,0
2011-03-13,2,0
2011-03-14,9,0
2011-03-15,11,0
2011-03-16,7,0
2011-03-17,7,0
2011-03-18,4,0
2011-03-19,1,0
2011-03-20,2,0
2011-03-21,6,0
2011-03-22,7,0
2011-03-23,6,0
2011-03-24,7,0
2011-03-25,7,0
2011-03-26,5,0
2011-03-27,3,0
2011-03-28,21,0
2011-03-29,25,0
2011-03-30,13,0
2011-03-31,20,0
2011-04-01,15,0
2011-04-02,4,0
2011-04-03,5,0
2011-04-04,21,0
2011-04-05,12,0
2011-04-06,7,0
2011-04-07,12,0
2011-04-08,11,0
2011-04-09,1,0
2011-04-10,6,0
2011-04-11,7,0
2011-04-12,5,0
2011-04-13,4,0
2011-04-14,13,0
2011-04-15,9,0
2011-04-16,3,0
2011-04-17,11,0
2011-04-18,7,0
2011-04-19,9,0
2011-04-20,6,0
2011-04-21,4,0
2011-04-22,5,0
2011-04-23,3,0
2011-04-24,1,0
2011-04-25,7,0
2011-04-26,9,0
2011-04-27,9,0
2011-04-28,12,0
2011-04-29,6,0
2011-04-30,2,0
2011-05-01,0,0
2011-05-02,6,0
2011-05-03,8,0
2011-05-04,6,0
2011-05-05,7,0
2011-05-06,7,0
2011-05-07,0,0
2011-05-08,5,0
2011-05-09,7,0
2011-05-10,6,0
2011-05-11,5,0
2011-05-12,14,0
2011-05-13,5,0
2011-05-14,6,0
2011-05-15,4,0
2011-05-16,10,0
2011-05-17,20,0
2011-05-18,11,0
2011-05-19,9,0
2011-05-20,11,0
2011-05-21,11,0
2011-05-22,8,0
2011-05-23,5,0
2011-05-24,7,0
2011-05-25,3,0
2011-05-26,7,0
2011-05-27,6,0
2011-05-28,1,0
2011-05-29,3,0
2011-05-30,9,0
2011-05-31,13,0
2011-06-01,12,0
2011-06-02,10,0
2011-06-03,8,0
2011-06-04,3,0
2011-06-05,0,0
2011-06-06,9,0
2011-06-07,7,0
2011-06-08,8,0
2011-06-09,8,0
2011-06-10,16,0
2011-06-11,2,0
2011-06-12,5,0
2011-06-13,5,0
2011-06-14,9,0
2011-06-15,7,0
2011-06-16,11,0
2011-06-17,9,0
2011-06-18,3,0
2011-06-19,6,0
2011-06-20,5,0
2011-06-21,7,0
2011-06-22,5,0
2011-06-23,5,0
2011-06-24,5,0
2011-06-25,0,0
2011-06-26,4,0
2011-06-27,4,0
2011-06-28,9,0
2011-06-29,5,0
2011-06-30,3,0
2011-07-01,8,0
2011-07-02,6,0
2011-07-03,0,0
2011-07-04,2,0
2011-07-05,9,0
2011-07-06,7,0
2011-07-07,5,0
2011-07-08,6,0
2011-07-09,1,0
2011-07-10,6,0
2011-07-11,10,0
2011-07-12,6,0
2011-07-13,9,0
2011-07-14,3,0
2011-07-15,7,0
2011-07-16,2,0
2011-07-17,1,0
2011-07-18,9,0
2011-07-19,5,0
2011-07-20,5,0
2011-07-21,5,0
2011-07-22,5,0
2011-07-23,2,0
2011-07-24,2,0
2011-07-25,10,0
2011-07-26,6,0
2011-07-27,6,0
2011-07-28,9,0
2011-07-29,10,0
2011-07-30,2,0
2011-07-31,2,0
2011-08-01,6,0
2011-08-02,7,0
2011-08-03,6,0
2011-08-04,14,0
2011-08-05,11,0
2011-08-06,6,0
2011-08-07,5,0
2011-08-08,6,0
2011-08-09,10,0
2011-08-10,5,0
2011-08-11,11,0
2011-08-12,9,0
2011-08-13,2,0
2011-08-14,2,0
2011-08-15,3,0
2011-08-16,14,0
2011-08-17,14,0
2011-08-18,17,0
2011-08-19,9,0
2011-08-20,6,0
2011-08-21,8,0
2011-08-22,6,0
2011-08-23,5,0
2011-08-24,10,0
2011-08-25,4,0
2011-08-26,6,0
2011-08-27,3,0
2011-08-28,5,0
2011-08-29,6,0
2011-08-30,9,0
2011-08-31,5,0
2011-09-01,6,0
2011-09-02,8,0
2011-09-03,2,0
2011-09-04,2,0
2011-09-05,4,0
2011-09-06,10,0
2011-09-07,12,0
2011-09-08,8,0
2011-09-09,6,0
2011-09-10,5,0
2011-09-11,3,0
2011-09-12,30,0
2011-09-13,27,0
2011-09-14,13,0
2011-09-15,7,0
2011-09-16,11,0
2011-09-17,6,0
2011-09-18,7,0
2011-09-19,6,0
2011-09-20,8,0
2011-09-21,3,0
2011-09-22,7,0
2011-09-23,16,0
2011-09-24,7,0
2011-09-25,6,0
2011-09-26,14,0
2011-09-27,15,0
2011-09-28,10,0
2011-09-29,17,0
2011-09-30,9,0
2011-10-01,7,0
2011-10-02,4,0
2011-10-03,11,0
2011-10-04,15,0
2011-10-05,12,0
2011-10-06,9,0
2011-10-07,10,0
2011-10-08,8,0
2011-10-09,4,0
2011-10-10,11,0
2011-10-11,6,0
2011-10-12,9,0
2011-10-13,2,0
2011-10-14,4,0
2011-10-15,4,0
2011-10-16,1,0
2011-10-17,16,0
2011-10-18,11,0
2011-10-19,13,0
2011-10-20,8,0
2011-10-21,6,0
2011-10-22,2,0
2011-10-23,3,0
2011-10-24,14,0
2011-10-25,4,0
2011-10-26,6,0
2011-10-27,11,0
2011-10-28,8,0
2011-10-29,8,0
2011-10-30,10,0
2011-10-31,16,0
2011-11-01,20,0
2011-11-02,16,0
2011-11-03,14,0
2011-11-04,4,0
2011-11-05,5,0
2011-11-06,4,0
2011-11-07,13,0
2011-11-08,10,0
2011-11-09,22,0
2011-11-10,19,0
2011-11-11,13,0
2011-11-12,5,0
2011-11-13,8,0
2011-11-14,11,0
2011-11-15,20,0
2011-11-16,15,0
2011-11-17,21,0
2011-11-18,15,0
2011-11-19,6,0
2011-11-20,3,0
2011-11-21,15,0
2011-11-22,9,0
2011-11-23,13,0
2011-11-24,3,0
2011-11-25,5,0
2011-11-26,8,0
2011-11-27,6,0
2011-11-28,14,0
2011-11-29,20,0
2011-11-30,18,0
2011-12-01,11,0
2011-12-02,8,0
2011-12-03,5,0
2011-12-04,8,0
2011-12-05,8,0
2011-12-06,14,0
2011-12-07,6,0
2011-12-08,14,0
2011-12-09,7,0
2011-12-10,4,0
2011-12-11,6,0
2011-12-12,10,0
2011-12-13,8,0
2011-12-14,6,0
2011-12-15,11,0
2011-12-16,13,0
2011-12-17,7,0
2011-12-18,10,0
2011-12-19,9,0
2011-12-20,19,0
2011-12-21,15,0
2011-12-22,10,0
2011-12-23,3,0
2011-12-24,2,0
2011-12-25,1,0
2011-12-26,3,0
2011-12-27,4,0
2011-12-28,9,0
2011-12-29,7,0
2011-12-30,4,0
2011-12-31,5,0
2012-01-01,11,0
2012-01-02,4,0
2012-01-03,10,0
2012-01-04,18,0
2012-01-05,33,0
2012-01-06,17,0
2012-01-07,6,0
2012-01-08,6,0
2012-01-09,18,0
2012-01-10,12,0
2012-01-11,10,0
2012-01-12,26,0
2012-01-13,10,0
2012-01-14,7,0
2012-01-15,6,0
2012-01-16,21,0
2012-01-17,11,0
2012-01-18,12,0
2012-01-19,12,0
2012-01-20,13,0
2012-01-21,2,0
2012-01-22,3,0
2012-01-23,10,0
2012-01-24,12,0
2012-01-25,10,0
2012-01-26,17,0
2012-01-27,14,0
2012-01-28,6,0
2012-01-29,10,0
2012-01-30,22,0
2012-01-31,25,0
2012-02-01,11,0
2012-02-02,12,0
2012-02-03,9,0
2012-02-04,7,0
2012-02-05,2,0
2012-02-06,9,0
2012-02-07,13,0
2012-02-08,10,0
2012-02-09,19,0
2012-02-10,14,0
2012-02-11,10,0
2012-02-12,10,0
2012-02-13,17,0
2012-02-14,16,0
2012-02-15,13,0
2012-02-16,18,0
2012-02-17,12,0
2012-02-18,7,0
2012-02-19,11,0
2012-02-20,13,0
2012-02-21,13,0
2012-02-22,10,0
2012-02-23,19,0
2012-02-24,14,0
2012-02-25,4,0
2012-02-26,6,0
2012-02-27,16,0
2012-02-28,14,0
2012-02-29,17,0
2012-03-01,12,0
2012-03-02,12,0
2012-03-03,7,0
2012-03-04,8,0
2012-03-05,16,0
2012-03-06,9,0
2012-03-07,14,0
2012-03-08,12,0
2012-03-09,16,0
2012-03-10,2,0
2012-03-11,7,0
2012-03-12,9,0
2012-03-13,9,0
2012-03-14,12,0
2012-03-15,5,0
2012-03-16,7,0
2012-03-17,1,0
2012-03-18,7,0
2012-03-19,12,0
2012-03-20,22,0
2012-03-21,19,0
2012-03-22,17,0
2012-03-23,16,0
2012-03-24,6,0
2012-03-25,2,0
2012-03-26,20,0
2012-03-27,27,0
2012-03-28,16,0
2012-03-29,19,0
2012-03-30,10,0
2012-03-31,6,0
2012-04-01,4,0
2012-04-02,9,0
2012-04-03,14,0
2012-04-04,22,0
2012-04-05,20,0
2012-04-06,19,0
2012-04-07,7,0
2012-04-08,5,0
2012-04-09,15,0
2012-04-10,17,0
2012-04-11,15,0
2012-04-12,30,0
2012-04-13,6,0
2012-04-14,12,0
2012-04-15,6,0
2012-04-16,10,0
2012-04-17,23,0
2012-04-18,17,0
2012-04-19,19,0
2012-04-20,19,0
2012-04-21,8,0
2012-04-22,10,0
2012-04-23,14,0
2012-04-24,17,0
2012-04-25,8,0
2012-04-26,20,0
2012-04-27,10,0
2012-04-28,8,0
2012-04-29,11,0
2012-04-30,14,0
2012-05-01,24,0
2012-05-02,21,0
2012-05-03,12,0
2012-05-04,16,0
2012-05-05,2,0
2012-05-06,9,0
2012-05-07,15,0
2012-05-08,16,0
2012-05-09,13,0
2012-05-10,15,0
2012-05-11,6,0
2012-05-12,10,0
2012-05-13,8,0
2012-05-14,18,0
2012-05-15,20,0
2012-05-16,12,0
2012-05-17,9,0
2012-05-18,10,0
2012-05-19,6,0
2012-05-20,7,0
2012-05-21,17,0
2012-05-22,18,0
2012-05-23,16,0
2012-05-24,17,0
2012-05-25,8,0
2012-05-26,3,0
2012-05-27,3,0
2012-05-28,12,0
2012-05-29,17,0
2012-05-30,11,0
2012-05-31,11,0
2012-06-01,10,0
2012-06-02,7,0
2012-06-03,9,0
2012-06-04,25,0
2012-06-05,13,0
2012-06-06,20,0
2012-06-07,19,0
2012-06-08,14,0
2012-06-09,3,0
2012-06-10,6,0
2012-06-11,10,0
2012-06-12,7,0
2012-06-13,16,0
2012-06-14,11,0
2012-06-15,8,0
2012-06-16,3,0
2012-06-17,5,0
2012-06-18,20,0
2012-06-19,12,0
2012-06-20,8,0
2012-06-21,15,0
2012-06-22,12,4
2012-06-23,13,1
2012-06-24,11,7
2012-06-25,9,6
2012-06-26,15,6
2012-06-27,17,3
2012-06-28,18,3
2012-06-29,13,5
2012-06-30,5,2
2012-07-01,2,0
2012-07-02,17,3
2012-07-03,12,3
2012-07-04,8,3
2012-07-05,8,2
2012-07-06,14,7
2012-07-07,5,2
2012-07-08,6,2
2012-07-09,9,2
2012-07-10,9,1
2012-07-11,30,10
2012-07-12,16,4
2012-07-13,15,3
2012-07-14,9,2
2012-07-15,2,1
2012-07-16,12,2
2012-07-17,50,8
2012-07-18,57,13
2012-07-19,51,22
2012-07-20,33,14
2012-07-21,10,4
2012-07-22,16,4
2012-07-23,29,10
2012-07-24,33,9
2012-07-25,26,6
2012-07-26,22,8
2012-07-27,15,5
2012-07-28,10,1
2012-07-29,14,2
2012-07-30,69,37
2012-07-31,47,18
2012-08-01,36,9
2012-08-02,17,6
2012-08-03,24,5
2012-08-04,19,4
2012-08-05,12,5
2012-08-06,25,8
2012-08-07,17,3
2012-08-08,26,9
2012-08-09,79,40
2012-08-10,68,38
2012-08-11,33,24
2012-08-12,24,13
2012-08-13,26,9
2012-08-14,52,29
2012-08-15,33,14
2012-08-16,28,10
2012-08-17,24,12
2012-08-18,10,5
2012-08-19,9,4
2012-08-20,22,4
2012-08-21,33,18
2012-08-22,19,6
2012-08-23,14,3
2012-08-24,25,13
2012-08-25,8,6
2012-08-26,19,7
2012-08-27,23,7
2012-08-28,30,9
2012-08-29,20,5
2012-08-30,27,7
2012-08-31,22,4
2012-09-01,9,2
2012-09-02,17,5
2012-09-03,23,5
2012-09-04,23,4
2012-09-05,22,1
2012-09-06,23,8
2012-09-07,20,7
2012-09-08,14,4
2012-09-09,20,1
2012-09-10,26,5
2012-09-11,32,5
2012-09-12,21,4
2012-09-13,27,9
2012-09-14,28,9
2012-09-15,12,2
2012-09-16,14,4
2012-09-17,23,6
2012-09-18,30,2
2012-09-19,41,4
2012-09-20,33,9
2012-09-21,22,8
2012-09-22,20,5
2012-09-23,16,6
2012-09-24,36,19
2012-09-25,28,10
2012-09-26,41,7
2012-09-27,32,7
2012-09-28,36,11
2012-09-29,10,4
2012-09-30,23,4
2012-10-01,31,11
2012-10-02,19,4
2012-10-03,18,3
2012-10-04,23,5
2012-10-05,32,6
2012-10-06,18,3
2012-10-07,18,1
2012-10-08,23,4
2012-10-09,23,6
2012-10-10,20,4
2012-10-11,20,2
2012-10-12,19,4
2012-10-13,8,0
2012-10-14,12,1
2012-10-15,22,5
2012-10-16,17,2
2012-10-17,25,3
2012-10-18,21,5
2012-10-19,32,7
2012-10-20,12,1
2012-10-21,15,5
2012-10-22,18,3
2012-10-23,24,6
2012-10-24,24,4
2012-10-25,24,6
2012-10-26,21,6
2012-10-27,14,3
2012-10-28,21,2
2012-10-29,27,6
2012-10-30,35,14
2012-10-31,27,16
2012-11-01,20,8
2012-11-02,22,6
2012-11-03,9,4
2012-11-04,20,4
2012-11-05,26,7
2012-11-06,31,9
2012-11-07,33,21
2012-11-08,25,13
2012-11-09,21,6
2012-11-10,6,1
2012-11-11,11,4
2012-11-12,32,10
2012-11-13,19,6
2012-11-14,27,9
2012-11-15,31,5
2012-11-16,18,5
2012-11-17,11,6
2012-11-18,15,4
2012-11-19,28,9
2012-11-20,30,9
2012-11-21,22,3
2012-11-22,4,0
2012-11-23,13,2
2012-11-24,19,5
2012-11-25,11,5
2012-11-26,19,9
2012-11-27,40,8
2012-11-28,21,8
2012-11-29,32,8
2012-11-30,17,6
2012-12-01,13,3
2012-12-02,17,0
2012-12-03,16,3
2012-12-04,94,64
2012-12-05,34,18
2012-12-06,62,10
2012-12-07,32,7
2012-12-08,18,8
2012-12-09,8,2
2012-12-10,29,10
2012-12-11,23,4
2012-12-12,32,6
2012-12-13,25,7
2012-12-14,17,1
2012-12-15,15,4
2012-12-16,12,1
2012-12-17,27,3
2012-12-18,27,5
2012-12-19,35,5
2012-12-20,34,4
2012-12-21,29,5
2012-12-22,19,2
2012-12-23,12,1
2012-12-24,17,1
2012-12-25,9,3
2012-12-26,17,3
2012-12-27,17,3
2012-12-28,21,1
2012-12-29,14,3
2012-12-30,11,3
2012-12-31,25,2
