"child","parent"
61.7,70.5
61.7,68.5
61.7,65.5
61.7,64.5
61.7,64
62.2,67.5
62.2,67.5
62.2,67.5
62.2,66.5
62.2,66.5
62.2,66.5
62.2,64.5
63.2,70.5
63.2,69.5
63.2,68.5
63.2,68.5
63.2,68.5
63.2,68.5
63.2,68.5
63.2,68.5
63.2,68.5
63.2,67.5
63.2,67.5
63.2,67.5
63.2,67.5
63.2,67.5
63.2,66.5
63.2,66.5
63.2,66.5
63.2,65.5
63.2,65.5
63.2,65.5
63.2,65.5
63.2,65.5
63.2,65.5
63.2,65.5
63.2,65.5
63.2,65.5
63.2,64.5
63.2,64.5
63.2,64.5
63.2,64.5
63.2,64
63.2,64
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,68.5
64.2,68.5
64.2,68.5
64.2,68.5
64.2,68.5
64.2,68.5
64.2,68.5
64.2,68.5
64.2,68.5
64.2,68.5
64.2,68.5
64.2,67.5
64.2,67.5
64.2,67.5
64.2,67.5
64.2,67.5
64.2,67.5
64.2,67.5
64.2,67.5
64.2,67.5
64.2,67.5
64.2,67.5
64.2,67.5
64.2,67.5
64.2,67.5
64.2,66.5
64.2,66.5
64.2,66.5
64.2,66.5
64.2,66.5
64.2,65.5
64.2,65.5
64.2,65.5
64.2,65.5
64.2,65.5
64.2,64.5
64.2,64.5
64.2,64.5
64.2,64.5
64.2,64
64.2,64
64.2,64
64.2,64
65.2,71.5
65.2,70.5
65.2,69.5
65.2,69.5
65.2,69.5
65.2,69.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,66.5
65.2,66.5
65.2,65.5
65.2,65.5
65.2,65.5
65.2,65.5
65.2,65.5
65.2,65.5
65.2,65.5
65.2,64.5
65.2,64
66.2,71.5
66.2,71.5
66.2,71.5
66.2,70.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,66.5
66.2,66.5
66.2,66.5
66.2,66.5
66.2,66.5
66.2,66.5
66.2,66.5
66.2,66.5
66.2,66.5
66.2,66.5
66.2,66.5
66.2,66.5
66.2,66.5
66.2,66.5
66.2,66.5
66.2,66.5
66.2,66.5
66.2,65.5
66.2,65.5
66.2,65.5
66.2,65.5
66.2,65.5
66.2,65.5
66.2,65.5
66.2,65.5
66.2,65.5
66.2,65.5
66.2,65.5
66.2,64.5
66.2,64.5
66.2,64.5
66.2,64.5
66.2,64.5
66.2,64
66.2,64
67.2,71.5
67.2,71.5
67.2,71.5
67.2,71.5
67.2,70.5
67.2,70.5
67.2,70.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,69.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,68.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,67.5
67.2,66.5
67.2,66.5
67.2,66.5
67.2,66.5
67.2,66.5
67.2,66.5
67.2,66.5
67.2,66.5
67.2,66.5
67.2,66.5
67.2,66.5
67.2,66.5
67.2,66.5
67.2,66.5
67.2,66.5
67.2,66.5
67.2,66.5
67.2,65.5
67.2,65.5
67.2,65.5
67.2,65.5
67.2,65.5
67.2,65.5
67.2,65.5
67.2,65.5
67.2,65.5
67.2,65.5
67.2,65.5
67.2,64.5
67.2,64.5
67.2,64.5
67.2,64.5
67.2,64.5
67.2,64
67.2,64
68.2,72.5
68.2,71.5
68.2,71.5
68.2,71.5
68.2,70.5
68.2,70.5
68.2,70.5
68.2,70.5
68.2,70.5
68.2,70.5
68.2,70.5
68.2,70.5
68.2,70.5
68.2,70.5
68.2,70.5
68.2,70.5
68.2,69.5
68.2,69.5
68.2,69.5
68.2,69.5
68.2,69.5
68.2,69.5
68.2,69.5
68.2,69.5
68.2,69.5
68.2,69.5
68.2,69.5
68.2,69.5
68.2,69.5
68.2,69.5
68.2,69.5
68.2,69.5
68.2,69.5
68.2,69.5
68.2,69.5
68.2,69.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,68.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,67.5
68.2,66.5
68.2,66.5
68.2,66.5
68.2,66.5
68.2,66.5
68.2,66.5
68.2,66.5
68.2,66.5
68.2,66.5
68.2,66.5
68.2,66.5
68.2,66.5
68.2,66.5
68.2,66.5
68.2,65.5
68.2,65.5
68.2,65.5
68.2,65.5
68.2,65.5
68.2,65.5
68.2,65.5
68.2,64
69.2,72.5
69.2,72.5
69.2,71.5
69.2,71.5
69.2,71.5
69.2,71.5
69.2,71.5
69.2,70.5
69.2,70.5
69.2,70.5
69.2,70.5
69.2,70.5
69.2,70.5
69.2,70.5
69.2,70.5
69.2,70.5
69.2,70.5
69.2,70.5
69.2,70.5
69.2,70.5
69.2,70.5
69.2,70.5
69.2,70.5
69.2,70.5
69.2,70.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,69.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,68.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,67.5
69.2,66.5
69.2,66.5
69.2,66.5
69.2,66.5
69.2,66.5
69.2,66.5
69.2,66.5
69.2,66.5
69.2,66.5
69.2,66.5
69.2,66.5
69.2,66.5
69.2,66.5
69.2,65.5
69.2,65.5
69.2,65.5
69.2,65.5
69.2,65.5
69.2,65.5
69.2,65.5
69.2,64.5
69.2,64.5
69.2,64
70.2,72.5
70.2,71.5
70.2,71.5
70.2,71.5
70.2,71.5
70.2,71.5
70.2,71.5
70.2,71.5
70.2,71.5
70.2,71.5
70.2,71.5
70.2,70.5
70.2,70.5
70.2,70.5
70.2,70.5
70.2,70.5
70.2,70.5
70.2,70.5
70.2,70.5
70.2,70.5
70.2,70.5
70.2,70.5
70.2,70.5
70.2,70.5
70.2,70.5
70.2,69.5
70.2,69.5
70.2,69.5
70.2,69.5
70.2,69.5
70.2,69.5
70.2,69.5
70.2,69.5
70.2,69.5
70.2,69.5
70.2,69.5
70.2,69.5
70.2,69.5
70.2,69.5
70.2,69.5
70.2,69.5
70.2,69.5
70.2,69.5
70.2,69.5
70.2,69.5
70.2,69.5
70.2,69.5
70.2,69.5
70.2,69.5
70.2,69.5
70.2,68.5
70.2,68.5
70.2,68.5
70.2,68.5
70.2,68.5
70.2,68.5
70.2,68.5
70.2,68.5
70.2,68.5
70.2,68.5
70.2,68.5
70.2,68.5
70.2,68.5
70.2,68.5
70.2,68.5
70.2,68.5
70.2,68.5
70.2,68.5
70.2,68.5
70.2,68.5
70.2,68.5
70.2,67.5
70.2,67.5
70.2,67.5
70.2,67.5
70.2,67.5
70.2,67.5
70.2,67.5
70.2,67.5
70.2,67.5
70.2,67.5
70.2,67.5
70.2,67.5
70.2,67.5
70.2,67.5
70.2,67.5
70.2,67.5
70.2,67.5
70.2,67.5
70.2,67.5
70.2,66.5
70.2,66.5
70.2,66.5
70.2,66.5
70.2,65.5
70.2,65.5
70.2,65.5
70.2,65.5
70.2,65.5
71.2,72.5
71.2,72.5
71.2,71.5
71.2,71.5
71.2,71.5
71.2,71.5
71.2,70.5
71.2,70.5
71.2,70.5
71.2,70.5
71.2,70.5
71.2,70.5
71.2,70.5
71.2,69.5
71.2,69.5
71.2,69.5
71.2,69.5
71.2,69.5
71.2,69.5
71.2,69.5
71.2,69.5
71.2,69.5
71.2,69.5
71.2,69.5
71.2,69.5
71.2,69.5
71.2,69.5
71.2,69.5
71.2,69.5
71.2,69.5
71.2,69.5
71.2,69.5
71.2,69.5
71.2,68.5
71.2,68.5
71.2,68.5
71.2,68.5
71.2,68.5
71.2,68.5
71.2,68.5
71.2,68.5
71.2,68.5
71.2,68.5
71.2,68.5
71.2,68.5
71.2,68.5
71.2,68.5
71.2,68.5
71.2,68.5
71.2,68.5
71.2,68.5
71.2,67.5
71.2,67.5
71.2,67.5
71.2,67.5
71.2,67.5
71.2,67.5
71.2,67.5
71.2,67.5
71.2,67.5
71.2,67.5
71.2,67.5
71.2,65.5
71.2,65.5
72.2,73
72.2,72.5
72.2,72.5
72.2,72.5
72.2,72.5
72.2,72.5
72.2,72.5
72.2,72.5
72.2,71.5
72.2,71.5
72.2,71.5
72.2,71.5
72.2,71.5
72.2,71.5
72.2,71.5
72.2,71.5
72.2,71.5
72.2,70.5
72.2,70.5
72.2,70.5
72.2,70.5
72.2,69.5
72.2,69.5
72.2,69.5
72.2,69.5
72.2,69.5
72.2,69.5
72.2,69.5
72.2,69.5
72.2,69.5
72.2,69.5
72.2,69.5
72.2,68.5
72.2,68.5
72.2,68.5
72.2,68.5
72.2,67.5
72.2,67.5
72.2,67.5
72.2,67.5
72.2,65.5
73.2,73
73.2,73
73.2,73
73.2,72.5
73.2,72.5
73.2,71.5
73.2,71.5
73.2,70.5
73.2,70.5
73.2,70.5
73.2,69.5
73.2,69.5
73.2,69.5
73.2,69.5
73.2,68.5
73.2,68.5
73.2,68.5
73.7,72.5
73.7,72.5
73.7,72.5
73.7,72.5
73.7,71.5
73.7,71.5
73.7,70.5
73.7,70.5
73.7,70.5
73.7,69.5
73.7,69.5
73.7,69.5
73.7,69.5
73.7,69.5
